ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10196,0,1,25,0,0,0,0,0,0,0,0,0
10196,1,1,0,0,0,0,0,0,0,0,0,9
10197,1,1,0,0,0,0,0,0,0,0,0,0
10197,2,1,0,0,0,0,0,0,0,0,0,0
10198,1,1,12,12,12,12,12,12,12,12,12,12
10198,2,1,0,0,0,0,0,0,0,0,0,0
10199,1,1,0,0,0,7,0,0,0,0,0,0
10199,2,1,0,0,0,0,0,0,0,0,0,0
10200,1,1,19,0,0,0,15,7,0,0,0,0
10201,1,1,0,0,0,0,0,0,0,0,0,0
10201,2,1,0,0,0,0,0,0,0,0,0,0
10202,1,1,3,3,3,3,3,3,3,3,3,3
10203,1,1,0,0,0,0,0,0,0,0,0,0
10203,2,1,0,0,0,0,0,0,0,0,0,0
10204,1,1,0,0,0,0,0,0,0,0,0,0
10204,2,1,0,0,0,0,0,0,0,0,0,0
10204,3,1,0,0,0,0,0,0,0,0,0,0
10205,1,1,14,14,14,14,14,14,14,14,14,14
10206,1,1,0,0,0,0,0,0,0,0,0,0
10207,1,1,2,2,2,2,2,2,2,2,2,2
10207,2,1,0,0,0,0,0,0,0,0,0,0
10207,3,1,0,0,0,0,0,0,0,0,0,0
10208,1,1,0,0,0,0,0,0,0,0,0,0
10208,2,1,0,0,0,0,0,0,35,0,0,0
10209,0,1,49,49,49,49,49,49,49,49,49,49
10209,1,1,0,0,0,7,34,0,6,0,0,0
10210,1,1,0,29,15,0,20,0,0,18,0,29
10211,0,1,0,0,0,0,0,0,0,0,0,0
10211,1,1,10,10,10,10,10,10,10,10,10,10
10212,1,1,0,0,0,0,0,0,0,0,0,0
10212,2,1,0,0,0,0,0,0,0,0,0,0
10213,1,1,0,0,0,0,0,0,0,0,0,0
10213,2,1,0,0,0,0,0,0,0,0,0,0
10214,1,1,0,0,0,24,0,0,0,0,0,0
10214,2,1,0,0,0,0,0,0,0,0,0,0
10215,1,1,0,0,0,0,0,0,0,0,0,0
10217,1,1,0,0,0,0,0,0,0,0,0,0
10217,2,1,0,0,0,0,0,0,0,0,0,0
10218,1,1,15,15,15,15,15,15,15,15,15,15
10218,2,1,0,0,0,0,0,0,0,0,0,0
10219,1,1,0,0,0,6,0,8,0,0,29,0
10220,1,1,0,0,0,0,0,0,0,0,0,15
10221,1,1,14,14,14,14,14,14,14,14,14,14
10221,2,1,0,0,0,0,0,0,0,5,0,0
10222,0,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,0,0,0,0,0,0,0
10223,1,1,0,0,0,0,0,0,0,0,0,0
10224,1,1,0,0,0,0,0,0,0,0,0,0
10225,1,1,0,0,0,0,0,0,0,0,0,0
10226,0,1,0,0,0,0,0,0,0,0,0,0
10226,1,1,0,0,0,0,0,0,0,0,0,0
10226,2,1,0,0,0,0,3,0,0,0,11,0
10227,1,1,21,32,17,24,15,22,7,13,0,23
10228,1,1,0,0,0,0,0,0,0,0,0,0
10229,1,1,0,0,0,0,0,0,0,0,0,0
10230,1,1,0,0,0,0,0,0,0,0,0,0
10231,1,1,0,0,0,0,0,0,0,0,0,0
10231,2,1,0,0,0,0,0,0,0,0,0,0
10231,3,1,0,0,0,0,0,0,0,0,0,14
10232,1,1,0,0,0,0,0,0,0,0,0,0
10232,2,1,0,0,0,0,0,0,0,0,0,0
10233,1,1,0,0,0,0,0,0,0,0,0,0
10233,2,1,0,0,0,0,0,0,0,0,0,0
10234,1,1,2,2,2,2,2,2,2,2,2,2
10234,2,1,0,0,0,0,0,0,0,0,0,0
10234,3,1,0,0,0,0,0,0,0,0,0,0
10234,4,1,0,0,0,0,0,0,12,16,0,0
10235,1,1,0,0,0,11,0,0,0,0,0,0
10235,2,1,0,0,0,0,0,0,0,0,0,0
