ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
470904,19,0,0,0,0,0,0,0,0,19
470905,8,0,0,0,0,0,0,0,0,0
470906,3,3,20,3,22,3,3,3,3,3
470907,4,4,4,4,4,4,4,4,4,4
470908,0,0,0,0,0,0,0,0,0,0
470909,0,0,0,0,0,0,0,0,0,0
470910,12,0,0,0,0,0,0,0,0,17
470911,0,0,0,0,0,0,0,0,0,0
470912,0,0,0,0,0,0,0,0,0,0
470913,15,0,0,19,0,0,0,0,0,0
470914,23,23,23,23,23,23,23,23,23,23
470916,18,18,18,18,18,18,18,18,18,18
470917,12,12,12,12,12,12,12,12,12,12
470918,14,0,0,0,0,0,0,0,0,0
470919,0,0,0,0,0,0,0,0,0,0
470920,19,19,19,19,19,19,19,19,19,19
470921,30,30,30,30,30,30,30,30,30,30
470922,0,0,0,0,0,0,0,0,0,0
470923,0,0,0,0,0,0,0,0,0,0
470924,0,0,0,9,0,0,0,0,0,0
470926,0,0,0,0,0,0,0,0,0,0
470927,0,0,0,0,0,0,0,0,0,0
470928,0,0,0,0,0,0,0,0,0,0
470930,16,0,13,0,22,0,21,0,0,29
470931,22,0,0,0,0,0,0,0,0,0
470932,0,0,0,0,0,0,0,0,0,0
470934,20,0,12,0,0,0,0,0,21,0
470935,11,0,22,0,0,0,24,0,0,0
470936,2,2,2,2,2,2,2,2,2,2
470937,0,0,0,0,0,0,0,0,0,0
470938,0,0,0,0,16,0,0,0,0,0
470939,0,0,0,0,0,14,0,0,0,0
470940,27,27,27,27,27,27,27,27,27,27
470941,23,23,23,23,23,23,23,23,23,23
470942,32,32,32,32,32,32,32,32,32,32
470943,0,0,0,0,0,0,0,0,0,0
470944,0,0,0,0,0,0,0,0,0,0
470945,7,16,20,38,16,8,8,14,38,20
470946,0,0,0,0,0,0,0,0,0,0
470947,0,0,0,0,0,0,0,0,0,0
470948,0,19,0,0,0,0,0,0,0,0
470949,0,0,0,0,0,0,0,0,0,0
470950,0,0,0,0,0,0,0,0,0,0
470951,20,20,20,20,20,20,20,20,20,20
470952,19,19,19,19,19,19,19,19,19,19
470953,0,0,0,0,0,0,0,0,0,0
470954,12,0,19,0,0,0,9,0,0,0
470955,19,24,10,0,12,12,0,17,0,38
470956,7,0,15,19,0,5,13,11,0,0
470957,0,0,0,0,0,0,0,0,0,29
470960,0,0,0,0,0,0,0,0,0,0
470961,0,0,0,22,0,0,7,0,21,0
470963,0,0,0,0,0,0,0,0,0,0
470964,0,38,0,30,0,18,0,16,0,24
470966,2,10,0,13,0,0,0,0,0,0
470967,0,0,0,0,0,0,0,0,0,0
470968,22,22,22,22,26,22,22,22,22,22
470969,0,0,0,0,0,0,0,0,0,0
470970,28,28,28,28,28,28,28,28,28,28
470971,0,0,0,0,0,0,0,23,0,0
470972,23,23,23,23,23,23,23,23,23,23
470973,29,0,0,0,10,13,0,8,2,0
470974,20,0,0,16,0,16,34,33,21,0
470975,14,14,14,14,14,14,14,14,14,14
470976,16,16,16,16,16,16,16,16,16,16
470977,0,0,9,0,0,0,0,0,0,0
470978,0,0,0,0,0,0,0,23,0,0
